Lon,Lat,Stratum,HERSTRATUM,SPRSTRATUM
-4.098670022,58.57109294,1,WoS,
-4.100802095,58.57267177,1,WoS,
-4.106049688,58.57491481,1,WoS,
-4.109041141,58.57567542,1,WoS,
-4.112122052,58.57548751,1,WoS,
-4.112679873,58.57527063,1,WoS,
-4.114250801,58.57746281,1,WoS,
-4.116821838,58.57933569,1,WoS,
-4.119850962,58.58030642,1,WoS,
-4.123031691,58.58027678,1,WoS,
-4.125474424,58.57944346,1,WoS,
-4.128145211,58.58042243,1,WoS,
-4.131356317,58.5805146,1,WoS,
-4.134430962,58.57958387,1,WoS,
-4.13705185,58.57772628,1,WoS,
-4.139747749,58.57507048,1,WoS,
-4.146545339,58.5779132,1,WoS,
-4.149348097,58.57863159,1,WoS,
-4.152239208,58.5785175,1,WoS,
-4.154976643,58.57758049,1,WoS,
-4.157331234,58.57589899,1,WoS,
-4.15889403,58.5743977,1,WoS,
-4.160355316,58.574327,1,WoS,
-4.16326865,58.57374417,1,WoS,
-4.165882159,58.5723311,1,WoS,
-4.167965143,58.57021252,1,WoS,
-4.169333735,58.56757544,1,WoS,
-4.169867125,58.56465265,1,WoS,
-4.169937736,58.56240479,1,WoS,
-4.170209805,58.56197897,1,WoS,
-4.172856858,58.5618631,1,WoS,
-4.175682347,58.56084725,1,WoS,
-4.178078915,58.55903844,1,WoS,
-4.179830502,58.55659973,1,WoS,
-4.180377556,58.55495705,1,WoS,
-4.180497219,58.55491238,1,WoS,
-4.18180604,58.55584697,1,WoS,
-4.184384097,58.55677422,1,WoS,
-4.189611663,58.55787667,1,WoS,
-4.192483213,58.55805919,1,WoS,
-4.194625328,58.55756833,1,WoS,
-4.195965499,58.55862039,1,WoS,
-4.198410938,58.5600331,1,WoS,
-4.198725547,58.56011026,1,WoS,
-4.199007355,58.56050193,1,WoS,
-4.201563605,58.56236388,1,WoS,
-4.204573456,58.56333448,1,WoS,
-4.210232559,58.56420805,1,WoS,
-4.214348046,58.5639839,1,WoS,
-4.219526498,58.56259535,1,WoS,
-4.222727177,58.56108941,1,WoS,
-4.225294468,58.55926599,1,WoS,
-4.227401403,58.55724739,1,WoS,
-4.22883595,58.55470652,1,WoS,
-4.229332698,58.55249699,1,WoS,
-4.231491113,58.55120914,1,WoS,
-4.233623052,58.54938571,1,WoS,
-4.234765224,58.54806191,1,WoS,
-4.244785058,58.54992087,1,WoS,
-4.248250885,58.54995298,1,WoS,
-4.251519497,58.54880009,1,WoS,
-4.254198238,58.54660069,1,WoS,
-4.256738349,58.54364049,1,WoS,
-4.258504305,58.54066176,1,WoS,
-4.258963496,58.53823634,1,WoS,
-4.260085542,58.53839045,1,WoS,
-4.26132265,58.54043358,1,WoS,
-4.263471945,58.54237829,1,WoS,
-4.270513399,58.54709326,1,WoS,
-4.273482412,58.5484415,1,WoS,
-4.288318723,58.55242785,1,WoS,
-4.290756114,58.55276915,1,WoS,
-4.29748134,58.55287506,1,WoS,
-4.297749166,58.55311133,1,WoS,
-4.300562359,58.55486125,1,WoS,
-4.303792903,58.55559598,1,WoS,
-4.307086208,58.55523488,1,WoS,
-4.308731113,58.55476965,1,WoS,
-4.309052894,58.55495211,1,WoS,
-4.31259689,58.55615634,1,WoS,
-4.31633541,58.55597314,1,WoS,
-4.323791007,58.55417055,1,WoS,
